IncidentId,Date,StartTime,EndTime,RuleId,DurationInSeconds,Score,Hand,AvgDegree,Username,UserId
81,04/30/2025,08:49:07,08:49:09,1,2,2,Left,34,prueba,123456
82,04/30/2025,08:49:14,08:49:16,2,1,1,Left,14,prueba,123456
83,04/30/2025,08:49:14,08:49:17,3,2,1,-1,-1,prueba,123456
84,04/30/2025,08:49:13,08:49:18,1,5,2,Right,21,prueba,123456
85,04/30/2025,08:49:11,08:49:18,2,7,1,Right,24,prueba,123456
86,-1,-1,10:54:24,-1,1,-1,Left,-1,prueba,123456
87,04/30/2025,10:54:26,10:54:35,3,9,1,-1,-1,prueba,123456
88,04/30/2025,10:54:38,10:54:39,3,1,1,-1,-1,prueba,123456
89,04/30/2025,10:54:41,10:54:42,3,1,1,-1,-1,prueba,123456
90,04/30/2025,10:54:43,10:54:48,3,4,1,-1,-1,prueba,123456
91,04/30/2025,10:54:51,10:54:53,2,2,1,Right,15,prueba,123456
92,04/30/2025,10:54:54,10:54:55,1,1,2,Right,19,prueba,123456
93,04/30/2025,10:54:54,10:54:56,2,2,1,Right,18,prueba,123456
94,04/30/2025,10:54:58,10:55:00,2,1,1,Left,26,prueba,123456
95,04/30/2025,10:54:57,10:55:02,1,5,1,Right,-2,prueba,123456
96,04/30/2025,10:55:04,10:55:05,2,1,1,Right,41,prueba,123456
97,04/30/2025,10:55:03,10:55:06,1,3,2,Right,52,prueba,123456
98,04/30/2025,10:55:02,10:55:07,3,4,1,-1,-1,prueba,123456
99,04/30/2025,10:55:06,10:55:07,2,1,1,Right,47,prueba,123456
100,04/30/2025,10:55:07,10:55:08,3,1,1,-1,-1,prueba,123456
101,04/30/2025,10:55:07,10:55:09,1,2,2,Left,44,prueba,123456
102,04/30/2025,10:55:07,10:55:10,1,3,2,Right,46,prueba,123456
103,04/30/2025,10:55:11,10:55:12,3,1,1,-1,-1,prueba,123456
104,04/30/2025,10:55:10,10:55:13,1,2,2,Right,54,prueba,123456
105,04/30/2025,10:55:16,10:55:18,1,1,2,Left,25,prueba,123456
106,04/30/2025,10:55:16,10:55:18,1,1,2,Left,25,prueba,123456
107,04/30/2025,10:55:13,10:55:20,1,6,2,Right,48,prueba,123456
108,04/30/2025,10:55:21,10:55:23,2,1,1,Right,26,prueba,123456
109,04/30/2025,10:55:20,10:55:23,1,2,2,Right,45,prueba,123456
110,04/30/2025,10:55:23,10:55:24,1,1,2,Right,27,prueba,123456
111,04/30/2025,10:55:25,10:55:28,3,2,1,-1,-1,prueba,123456
112,04/30/2025,10:55:25,10:55:28,1,2,2,Right,34,prueba,123456
113,04/30/2025,10:55:28,10:55:38,1,9,2,Right,36,prueba,123456
114,04/30/2025,10:55:25,10:55:38,2,13,1,Right,26,prueba,123456
115,04/30/2025,10:55:33,10:55:38,3,4,1,-1,-1,prueba,123456
116,04/30/2025,10:55:38,10:55:39,2,1,1,Right,30,prueba,123456
117,04/30/2025,10:55:42,10:55:43,1,1,2,Right,27,prueba,123456
118,04/30/2025,10:55:42,10:55:44,2,1,1,Right,24,prueba,123456
119,04/30/2025,10:55:44,10:55:45,2,1,1,Right,21,prueba,123456
120,04/30/2025,10:55:44,10:55:48,1,4,2,Right,29,prueba,123456
121,04/30/2025,10:55:46,10:55:50,2,3,1,Right,34,prueba,123456
122,04/30/2025,10:55:49,10:55:51,1,1,2,Left,35,prueba,123456
123,05/08/2025,09:32:25,09:32:27,3,2,1,-1,-1,prueba,123456
124,05/08/2025,09:32:28,09:32:29,1,1,2,Right,21,prueba,123456
125,05/08/2025,09:32:28,09:32:29,2,1,1,Left,16,prueba,123456
126,05/08/2025,09:32:31,09:32:33,3,1,1,-1,-1,prueba,123456
127,05/08/2025,09:32:26,09:32:33,2,7,1,Right,30,prueba,123456
128,07/04/2025,08:36:46,08:36:48,2,1,1,Right,15,prueba,123456
129,07/04/2025,08:36:49,08:36:50,2,1,1,Right,19,prueba,123456
130,07/04/2025,08:36:49,08:36:51,2,1,1,Left,25,prueba,123456
131,07/04/2025,08:37:00,08:37:03,1,2,2,Right,34,prueba,123456
132,07/04/2025,08:36:52,08:37:03,3,10,1,-1,-1,prueba,123456
133,07/04/2025,08:37:02,08:37:05,1,3,1,Left,8,prueba,123456
134,07/04/2025,08:37:14,08:37:15,3,1,1,-1,-1,prueba,123456
135,07/04/2025,08:37:16,08:37:18,3,1,1,-1,-1,prueba,123456
136,07/04/2025,08:37:20,08:37:23,3,3,1,-1,-1,prueba,123456
137,07/04/2025,08:37:07,08:37:29,2,22,1,Right,27,prueba,123456
138,07/04/2025,08:37:32,08:37:33,3,1,1,-1,-1,prueba,123456
139,07/04/2025,08:37:33,08:37:34,2,1,1,Right,23,prueba,123456
140,07/04/2025,08:37:35,08:37:36,3,1,1,-1,-1,prueba,123456
141,07/04/2025,08:37:37,08:37:39,3,1,1,-1,-1,prueba,123456
142,07/04/2025,08:37:37,08:37:39,2,1,1,Right,17,prueba,123456
143,07/04/2025,08:37:43,08:37:44,3,1,1,-1,-1,prueba,123456
144,07/04/2025,08:37:42,08:37:45,2,3,1,Right,21,prueba,123456
145,07/04/2025,08:37:46,08:37:48,2,1,1,Right,24,prueba,123456
146,07/04/2025,08:37:48,08:37:50,2,1,1,Right,23,prueba,123456
147,07/04/2025,08:37:50,08:37:55,3,4,1,-1,-1,prueba,123456
148,07/04/2025,08:37:52,08:38:00,2,7,1,Right,23,prueba,123456
149,07/04/2025,08:37:56,08:38:00,1,3,1,Right,-2,prueba,123456
150,07/04/2025,08:37:55,08:38:00,3,5,1,-1,-1,prueba,123456
151,07/04/2025,08:38:01,08:38:02,3,1,1,-1,-1,prueba,123456
152,07/04/2025,08:38:01,08:38:06,2,4,1,Right,22,prueba,123456
153,07/04/2025,08:38:04,08:38:06,3,2,1,-1,-1,prueba,123456
154,07/04/2025,08:38:06,08:38:08,2,1,1,Right,22,prueba,123456
155,07/04/2025,08:38:08,08:38:10,2,1,1,Right,18,prueba,123456
